Student Name,Student ID,GPA,Tardies,Grade Level,Absences,Missing Assignments
Student 417,1417,4.0,4,9,12,3
Student 418,1418,3.08,9,9,1,5
Student 419,1419,2.26,3,9,1,5
Student 420,1420,3.68,9,12,7,1
Student 421,1421,1.62,10,10,8,1
Student 422,1422,1.04,8,10,10,3
Student 423,1423,2.24,1,10,8,5
Student 424,1424,2.77,1,11,1,5
Student 425,1425,4.07,7,10,13,1
Student 426,1426,1.23,9,12,0,1
Student 427,1427,1.81,7,12,14,0
Student 428,1428,3.28,9,10,14,4
Student 429,1429,3.36,7,12,4,2
Student 430,1430,3.46,2,9,15,0
Student 431,1431,2.43,1,12,11,2
Student 432,1432,3.64,8,11,0,3
Student 433,1433,3.47,5,11,12,2
Student 434,1434,1.98,3,9,3,4
Student 435,1435,1.19,7,11,6,5
Student 436,1436,1.22,5,11,10,2
Student 437,1437,3.93,1,11,5,1
Student 438,1438,1.59,5,10,13,3
Student 439,1439,2.64,10,9,2,0
Student 440,1440,4.24,8,11,12,2
Student 441,1441,2.03,8,9,5,0
Student 442,1442,3.46,3,11,7,3
Student 443,1443,3.17,3,12,10,4
Student 444,1444,0.78,7,12,12,2
Student 445,1445,0.73,2,10,7,0
Student 446,1446,3.76,2,11,15,3
Student 447,1447,2.9,2,12,11,4
Student 448,1448,2.74,7,11,0,0
Student 449,1449,1.16,2,12,7,2
Student 450,1450,3.76,3,11,9,1
Student 451,1451,1.98,10,12,8,2
Student 452,1452,1.25,2,11,11,1
Student 453,1453,2.29,7,10,15,1
Student 454,1454,2.67,6,12,5,1
Student 455,1455,2.47,8,9,4,0
Student 456,1456,1.04,9,9,3,1
Student 457,1457,4.0,2,11,3,1
Student 458,1458,0.79,2,9,8,1
Student 459,1459,4.08,4,12,3,1
Student 460,1460,0.58,9,12,0,3
Student 461,1461,0.59,8,10,11,2
Student 462,1462,1.96,2,12,13,4
Student 463,1463,3.5,8,12,8,5
Student 464,1464,3.41,10,12,11,3
Student 465,1465,3.81,0,10,13,2
Student 466,1466,1.47,0,9,0,0
Student 467,1467,2.82,2,9,7,2
Student 468,1468,1.38,9,12,4,3
Student 469,1469,1.69,2,12,13,4
Student 470,1470,0.74,6,11,6,5
Student 471,1471,4.26,2,9,4,3
Student 472,1472,2.6,10,12,12,2
Student 473,1473,2.47,7,12,12,4
Student 474,1474,0.58,6,11,5,1
Student 475,1475,0.92,3,10,11,1
Student 476,1476,1.15,10,10,9,2
Student 477,1477,1.5,4,10,9,4
Student 478,1478,1.47,0,9,7,3
Student 479,1479,2.99,9,10,6,4
Student 480,1480,3.35,4,10,1,2
Student 481,1481,2.1,0,9,11,5
Student 482,1482,3.06,9,12,11,4
Student 483,1483,1.93,10,10,10,3
Student 484,1484,1.12,4,11,8,2
Student 485,1485,3.8,8,9,0,0
Student 486,1486,2.49,10,12,6,1
Student 487,1487,3.58,5,12,1,4
Student 488,1488,1.03,10,9,8,3
Student 489,1489,2.92,7,9,5,5
Student 490,1490,0.78,6,11,11,2
Student 491,1491,4.08,4,12,2,0
Student 492,1492,3.21,3,9,6,0
Student 493,1493,3.81,6,12,13,0
Student 494,1494,0.57,1,9,13,5
Student 495,1495,3.91,9,12,3,0
Student 496,1496,1.98,0,12,12,0
Student 497,1497,3.45,1,9,10,2
Student 498,1498,2.66,7,9,2,3
Student 499,1499,3.73,4,9,8,5
Student 500,1500,1.58,4,9,4,3
Student 501,1501,1.05,10,10,8,4
Student 502,1502,0.68,4,10,4,4
Student 503,1503,2.23,4,12,2,0
Student 504,1504,2.94,9,11,3,4
Student 505,1505,3.07,6,9,10,0
Student 506,1506,0.54,4,11,11,0
Student 507,1507,4.3,5,10,15,0
Student 508,1508,2.31,5,9,11,0
Student 509,1509,2.86,9,11,14,1
Student 510,1510,1.48,10,11,14,0
Student 511,1511,2.55,9,9,10,4
Student 512,1512,2.39,0,12,11,3
Student 513,1513,2.27,7,11,13,1
Student 514,1514,0.75,2,10,11,0
Student 515,1515,2.35,0,11,7,2
Student 516,1516,1.15,9,10,14,3
Student 517,1517,1.81,0,11,11,2
Student 518,1518,0.91,10,10,9,5
Student 519,1519,2.48,10,11,4,2
Student 520,1520,3.22,0,11,11,2
Student 521,1521,0.74,8,10,9,0
Student 522,1522,3.8,6,12,8,0
Student 523,1523,1.58,0,9,5,3
Student 524,1524,3.2,4,12,1,4
Student 525,1525,0.82,6,11,1,3
Student 526,1526,1.36,10,10,10,3
Student 527,1527,2.62,1,11,13,1
Student 528,1528,1.62,1,12,12,3
Student 529,1529,1.66,6,10,10,4
Student 530,1530,1.52,9,10,15,1
Student 531,1531,0.98,5,12,4,2
Student 532,1532,3.06,4,11,7,1
Student 533,1533,3.91,3,12,8,4
Student 534,1534,2.54,7,9,0,5
Student 535,1535,3.83,6,12,8,2
Student 536,1536,3.88,6,10,7,5
Student 537,1537,1.05,4,9,9,4
Student 538,1538,2.12,1,10,10,4
Student 539,1539,2.61,7,10,0,1
Student 540,1540,2.85,9,11,3,3
Student 541,1541,1.96,5,9,9,2
Student 542,1542,1.14,9,11,2,3
Student 543,1543,3.51,8,9,3,4
Student 544,1544,1.86,9,10,8,0
Student 545,1545,0.68,5,12,14,4
Student 546,1546,1.69,0,11,15,3
Student 547,1547,2.91,10,11,10,4
Student 548,1548,3.19,2,10,3,2
Student 549,1549,1.24,3,10,1,3
Student 550,1550,0.5,9,12,15,2
Student 551,1551,2.83,0,12,10,1
Student 552,1552,0.86,2,11,12,2
Student 553,1553,0.81,5,9,4,4
Student 554,1554,2.6,3,9,8,4
Student 555,1555,1.71,6,11,4,1
Student 556,1556,1.7,10,12,15,3
Student 557,1557,0.68,5,10,1,0
Student 558,1558,3.46,2,10,5,1
Student 559,1559,3.66,6,9,13,0
Student 560,1560,3.02,5,11,5,0
Student 561,1561,0.87,7,12,6,3
Student 562,1562,1.63,5,9,15,0
Student 563,1563,1.36,10,12,8,5
Student 564,1564,1.21,8,12,9,0
Student 565,1565,1.41,7,12,12,3
Student 566,1566,2.15,5,11,3,2
Student 567,1567,1.34,3,11,14,3
Student 568,1568,4.15,2,12,8,5
Student 569,1569,2.7,2,9,5,0
Student 570,1570,0.81,2,9,9,1
Student 571,1571,2.48,8,9,10,0
Student 572,1572,4.21,6,12,4,1
Student 573,1573,3.92,3,12,13,2
Student 574,1574,4.24,8,11,11,2
Student 575,1575,1.12,0,9,15,2
Student 576,1576,0.99,2,12,4,0
Student 577,1577,3.35,1,12,7,2
Student 578,1578,0.52,8,9,13,0
Student 579,1579,3.63,4,10,6,0
Student 580,1580,2.72,2,10,1,0
Student 581,1581,3.91,6,11,2,2
Student 582,1582,1.27,10,9,2,1
Student 583,1583,1.82,3,9,13,3
Student 584,1584,1.2,10,12,3,3
Student 585,1585,1.81,6,10,11,3
Student 586,1586,0.72,9,11,7,2
Student 587,1587,0.88,0,12,6,5
Student 588,1588,2.83,0,11,12,1
Student 589,1589,1.15,10,12,12,5
Student 590,1590,1.42,1,10,14,2
Student 591,1591,2.89,3,11,7,1
Student 592,1592,3.14,9,10,10,0
Student 593,1593,0.88,3,9,3,2
Student 594,1594,1.14,10,9,13,1
Student 595,1595,2.5,3,11,11,3
Student 596,1596,2.85,5,11,2,1
Student 597,1597,1.01,0,11,9,4
Student 598,1598,2.69,3,12,12,5
Student 599,1599,3.49,9,12,2,0
Student 600,1600,2.55,5,12,5,1
Student 601,1601,1.44,7,12,10,3
Student 602,1602,1.62,0,12,10,3
Student 603,1603,3.31,9,10,8,0
Student 604,1604,2.66,4,10,0,3
Student 605,1605,0.75,0,10,13,5
Student 606,1606,3.05,2,12,10,1
Student 607,1607,1.92,5,12,4,2
Student 608,1608,3.01,3,10,11,0
Student 609,1609,3.38,4,10,9,3
Student 610,1610,3.43,4,10,15,1
Student 611,1611,3.04,0,12,8,3
Student 612,1612,0.66,9,9,15,3
Student 613,1613,3.99,7,9,11,4
Student 614,1614,1.33,8,12,12,1
Student 615,1615,1.15,2,12,13,4
Student 616,1616,1.38,10,12,10,4
Student 617,1617,3.29,0,9,8,1
Student 618,1618,1.94,3,10,9,2
Student 619,1619,1.17,2,9,10,3
Student 620,1620,1.62,10,12,2,1
Student 621,1621,4.12,9,9,14,2
Student 622,1622,3.5,9,10,8,3
Student 623,1623,0.94,5,9,2,3
Student 624,1624,3.43,8,9,12,0
Student 625,1625,3.55,3,9,9,5
Student 626,1626,4.11,4,10,7,2
Student 627,1627,3.18,6,9,0,4
Student 628,1628,2.01,6,10,0,0
Student 629,1629,2.65,4,9,13,5
Student 630,1630,2.21,4,12,2,1
Student 631,1631,4.19,8,10,5,4
Student 632,1632,4.25,9,9,12,5
Student 633,1633,2.84,10,9,10,0
Student 634,1634,0.62,9,11,5,3
Student 635,1635,1.5,9,10,11,4
Student 636,1636,1.44,9,11,4,1
Student 637,1637,1.67,8,10,4,3
Student 638,1638,3.3,5,9,14,0
Student 639,1639,1.7,3,12,9,5
Student 640,1640,3.19,4,9,11,5
Student 641,1641,2.88,6,9,4,5
Student 642,1642,3.83,9,11,15,0
Student 643,1643,3.58,10,12,3,1
Student 644,1644,2.08,0,11,9,0
Student 645,1645,2.41,4,11,15,4
Student 646,1646,3.28,2,12,10,3
Student 647,1647,1.92,7,12,1,2
Student 648,1648,3.25,3,11,8,2
Student 649,1649,1.48,8,9,3,1
Student 650,1650,1.84,1,9,6,4
Student 651,1651,3.97,4,10,7,2
Student 652,1652,3.85,5,12,3,2
Student 653,1653,4.05,8,12,3,1
Student 654,1654,1.92,7,12,1,0
Student 655,1655,0.82,8,9,12,0
Student 656,1656,3.16,6,10,6,0
Student 657,1657,3.61,3,11,9,4
Student 658,1658,3.12,8,11,1,1
Student 659,1659,3.24,3,10,15,2
Student 660,1660,0.59,7,11,0,2
Student 661,1661,3.57,6,10,7,3
Student 662,1662,0.59,9,9,11,2
Student 663,1663,3.73,10,9,15,1
Student 664,1664,0.71,1,10,7,5
Student 665,1665,1.93,5,10,2,0
Student 666,1666,3.42,7,11,3,4
Student 667,1667,2.37,3,9,14,2
Student 668,1668,4.16,1,10,6,2
Student 669,1669,2.75,8,9,5,1
Student 670,1670,0.73,2,10,11,3
Student 671,1671,4.23,7,9,6,0
Student 672,1672,1.86,8,12,11,4
Student 673,1673,3.37,5,10,15,0
Student 674,1674,2.51,9,12,11,1
Student 675,1675,0.63,3,9,5,3
Student 676,1676,1.07,6,9,2,3
Student 677,1677,1.54,9,11,1,4
Student 678,1678,2.11,7,9,8,3
Student 679,1679,3.82,4,11,13,4
Student 680,1680,1.87,2,9,0,3
Student 681,1681,4.22,9,11,13,3
Student 682,1682,1.87,3,12,7,4
Student 683,1683,2.08,9,9,6,1
Student 684,1684,2.22,1,11,6,4
Student 685,1685,1.93,0,11,6,1
Student 686,1686,2.89,10,10,2,0
Student 687,1687,2.25,2,12,4,4
Student 688,1688,1.68,8,10,10,2
Student 689,1689,3.1,7,11,5,1
Student 690,1690,4.16,1,12,7,0
Student 691,1691,3.51,5,10,11,1
Student 692,1692,2.95,0,12,0,1
Student 693,1693,0.8,2,10,11,2
Student 694,1694,1.85,5,12,3,1
Student 695,1695,2.72,2,11,12,2
Student 696,1696,3.35,9,12,3,3
